,Name,Rating,Reviews,About_Locations,Avg_salary,TotalJobs
0,TCS,3.3,(1.1L),IT Services & Consulting | Bengaluru +439 other locations,9.9L,3.4k
1,Accenture,3.7,(72.1k),IT Services & Consulting | Bengaluru +255 other locations,6.5L,36.3k
2,Wipro,3.6,(64.1k),IT Services & Consulting | Hyderabad +371 other locations,4.8L,4.7k
3,Cognizant,3.6,(60.4k),IT Services & Consulting | Hyderabad +232 other locations,6L,554
4,Capgemini,3.7,(52.1k),IT Services & Consulting | Bengaluru +182 other locations,4.8L,2.8k
5,HDFC Bank,3.8,(51.2k),Banking | Mumbai +1836 other locations,1.5L,385
6,Infosys,3.5,(47.9k),IT Services & Consulting | Bengaluru +248 other locations,5.2L,2.4k
7,ICICI Bank,4.0,(45.3k),Banking | Mumbai +1440 other locations,1.5L,16
8,HCLTech,3.4,(45.1k),IT Services & Consulting | Chennai +231 other locations,3.8L,284
9,Tech Mahindra,3.4,(42.7k),IT Services & Consulting | Hyderabad +330 other locations,2.8L,675
10,Genpact,3.6,(41.4k),Analytics & KPO | Hyderabad +181 other locations,2.3L,962
11,Teleperformance,3.8,(37.3k),BPO | Mumbai +255 other locations,96.9k,2.1k
12,Jio,4.4,(33.3k),Telecom | Mumbai +1967 other locations,62k,1
13,Axis Bank,3.6,(32.6k),Banking | Mumbai +1510 other locations,1L,201
14,Concentrix Corporation,3.6,(31.7k),BPO | Bengaluru +178 other locations,1.3L,71
15,Amazon,3.9,(31k),Internet | Bengaluru +520 other locations,1.5L,1.9k
16,iEnergizer,4.6,(27.2k),BPO | Noida +52 other locations,24.3k,96
17,Reliance Retail,3.9,(27.1k),Retail | Mumbai +1157 other locations,76.1k,146
18,LTIMindtree,3.6,(26.1k),IT Services & Consulting | Bengaluru +145 other locations,1.9L,497
19,IBM,3.9,(25.5k),IT Services & Consulting | Bengaluru +161 other locations,2.1L,2.6k
20,HDB Financial Services,3.9,(25.3k),NBFC | Mumbai +1092 other locations,49.5k,188
21,Larsen & Toubro Limited,3.9,(23.5k),Engineering & Construction | Chennai +761 other locations,75.1k,158
22,Deloitte,3.7,(22.6k),Management Consulting | Hyderabad +188 other locations,2.5L,1.4k
23,Kotak Mahindra Bank,3.6,(22.1k),Banking | Mumbai +687 other locations,87.3k,160
24,Reliance Industries,4.0,(19.9k),Oil & Gas | Jamnagar +816 other locations,73k,110
25,Vodafone Idea,3.9,(17.5k),Telecom | Pune +705 other locations,49.7k,46
26,Bharti Airtel,3.8,(16.9k),Telecom | Gurugram +795 other locations,49.3k,186
